gene-KPHS_00010	protein_id=YP_005224301.1	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-KPHS_00030	protein_id=YP_005224303.1	gene-KPHS_00030	26178.86734	-4.355575603	0.32876276	-13.24838496	4.61E-40	3.49E-38
gene-KPHS_02580	protein_id=YP_005224558.1	gene-KPHS_02580	5608.542655	6.025078838	0.374344491	16.09501136	2.77E-58	4.28E-56
gene-KPHS_02590	protein_id=YP_005224559.1	gene-KPHS_02590	2696.182866	5.834795118	0.21242335	27.4677672	4.26E-166	8.24E-163
gene-KPHS_02600	protein_id=YP_005224560.1	gene-KPHS_02600	5630.486584	6.607881214	0.221210323	29.87148669	4.62E-196	1.79E-192
gene-KPHS_04400	protein_id=YP_005224740.1	gene-KPHS_04400	3435.421967	-4.798822853	0.282858878	-16.96543129	1.48E-64	3.18E-62
gene-KPHS_08720	protein_id=YP_005225172.1	gene-KPHS_08720	2057.929423	11.00693736	0.557279614	19.75119327	7.83E-87	4.33E-84
gene-KPHS_10350	protein_id=YP_005225335.1	gene-KPHS_10350	1376.274239	4.787902708	0.371682299	12.88170763	5.71E-38	3.80E-36
gene-KPHS_10490	protein_id=YP_005225349.1	gene-KPHS_10490	350.7069153	4.227314637	0.328518502	12.86781295	6.83E-38	4.48E-36
gene-KPHS_13570	protein_id=YP_005225657.1	gene-KPHS_13570	1265.234987	-4.788942555	0.291707287	-16.41694523	1.45E-60	2.54E-58
gene-KPHS_14750	protein_id=YP_005225775.1	gene-KPHS_14750	590.3920082	4.293486016	0.227012807	18.91296827	8.92E-80	3.45E-77
gene-KPHS_21920	protein_id=YP_005226492.1	gene-KPHS_21920	804.5420893	4.27515714	0.312147976	13.695931	1.07E-42	9.88E-41
gene-KPHS_23690	protein_id=YP_005226669.1	gene-KPHS_23690	696.8024586	-3.759281245	0.303356116	-12.39230412	2.88E-35	1.68E-33
gene-KPHS_25110	protein_id=YP_005226811.1	gene-KPHS_25110	4094.249466	-4.002922469	0.390057631	-10.26238729	1.04E-24	3.07E-23
gene-KPHS_27560	protein_id=YP_005227056.1	gene-KPHS_27560	9613.939849	-4.782278181	0.209991991	-22.77362184	8.37E-115	6.47E-112
gene-KPHS_27570	protein_id=YP_005227057.1	gene-KPHS_27570	6260.771956	-3.819007358	0.259311203	-14.72750623	4.29E-49	4.88E-47
gene-KPHS_32850	protein_id=YP_005227585.1	gene-KPHS_32850	2335.158611	-4.251242722	0.248321422	-17.11991933	1.05E-65	2.40E-63
gene-KPHS_32860	protein_id=YP_005227586.1	gene-KPHS_32860	1533.858755	-3.878352375	0.257268479	-15.0751168	2.36E-51	2.85E-49
gene-KPHS_35800	protein_id=YP_005227880.1	gene-KPHS_35800	1413.587081	-4.241259014	0.175230869	-24.20383483	2.03E-129	2.61E-126
gene-KPHS_41870	protein_id=YP_005228487.1	gene-KPHS_41870	414.0090968	4.257238288	0.255936721	16.63394871	3.96E-62	8.05E-60
gene-KPHS_41900	protein_id=YP_005228490.1	gene-KPHS_41900	5418.431861	4.6929182	0.253868651	18.4856152	2.70E-76	9.48E-74
