##Falco	1.3.0
>>Basic Statistics	pass
#Measure	Value
Filename	forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8802179
Total Bases	1320 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	56.5
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.218557245882	40.0	40.0	40.0	40.0	40.0
2	38.9951990296948	40.0	40.0	40.0	40.0	40.0
3	39.2766223000009	40.0	40.0	40.0	40.0	40.0
4	39.505593785357	40.0	40.0	40.0	40.0	40.0
5	39.4986591388337	40.0	40.0	40.0	40.0	40.0
6	39.5138736669636	40.0	40.0	40.0	40.0	40.0
7	39.4781331986091	40.0	40.0	40.0	40.0	40.0
8	39.5772776263696	40.0	40.0	40.0	40.0	40.0
9	39.6474995566439	40.0	40.0	40.0	40.0	40.0
10-14	39.6042217728133	40.0	40.0	40.0	40.0	40.0
15-19	39.708135156079	40.0	40.0	40.0	40.0	40.0
20-24	39.7270030068691	40.0	40.0	40.0	40.0	40.0
25-29	39.7241664819586	40.0	40.0	40.0	40.0	40.0
30-34	39.7013905988506	40.0	40.0	40.0	40.0	40.0
35-39	39.7053476644817	40.0	40.0	40.0	40.0	40.0
40-44	39.6815864117283	40.0	40.0	40.0	40.0	40.0
45-49	39.6697220313288	40.0	40.0	40.0	40.0	40.0
50-54	39.6664110329954	40.0	40.0	40.0	40.0	40.0
55-59	39.6594115161712	40.0	40.0	40.0	40.0	40.0
60-64	39.6525357187124	40.0	40.0	40.0	40.0	40.0
65-69	39.638927270168	40.0	40.0	40.0	40.0	40.0
70-74	39.6431869654094	40.0	40.0	40.0	40.0	40.0
75-79	39.5731542837291	40.0	40.0	40.0	40.0	40.0
80-84	39.4886073777868	40.0	40.0	40.0	40.0	40.0
85-89	39.5343166959	40.0	40.0	40.0	40.0	40.0
90-94	39.5620025904949	40.0	40.0	40.0	40.0	40.0
95-99	39.5695032105119	40.0	40.0	40.0	40.0	40.0
100-104	39.5905926702922	40.0	40.0	40.0	40.0	40.0
105-109	39.5833800244235	40.0	40.0	40.0	40.0	40.0
110-114	39.5684869848705	40.0	40.0	40.0	40.0	40.0
115-119	39.5388421435192	40.0	40.0	40.0	40.0	40.0
120-124	39.5446954896055	40.0	40.0	40.0	40.0	40.0
125-129	39.5325784672182	40.0	40.0	40.0	40.0	40.0
130-134	39.5200409807617	40.0	40.0	40.0	40.0	40.0
135-139	39.5069578339636	40.0	40.0	40.0	40.0	40.0
140-144	39.4780477424965	40.0	40.0	40.0	40.0	40.0
145-149	39.4578055956372	40.0	40.0	40.0	40.0	40.0
150	39.4395318477391	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.483863938781369
1101	2	-0.167013213555975
1101	3	-0.220589637254804
1101	4	-0.36103042488066
1101	5	-0.241537250525234
1101	6	-0.159537374504559
1101	7	-0.146448947874276
1101	8	-0.179540527097814
1101	9	-0.0848276891584874
1101	10	0.107633194102633
1101	11	-0.0971029876076273
1101	12	-0.155472130879119
1101	13	-0.0513345571517405
1101	14	0.0673946611692031
1101	15	-0.111183367332856
1101	16	0.0878966444550784
1101	17	-0.108442426149118
1101	18	0.0808744785713813
1101	19	0.0312304465791371
1101	20	-0.133787994822868
1101	21	-0.142448391235817
1101	22	-0.162548292031445
1101	23	-0.192173043245127
1101	24	-0.177788771986727
1101	25	-0.0894931047965315
1101	26	-0.0570701413106391
1101	27	-0.0699763487201963
1101	28	-0.0811516547483322
1101	29	-0.218748166499246
1101	30	-0.121688677597113
1101	31	-0.16139630468286
1101	32	-0.108071596374053
1101	33	-0.189761768023807
1101	34	-0.0790974438889336
1101	35	-0.126300097966528
1101	36	-0.219573233998211
1101	37	-0.223521098726138
1101	38	-0.108978949679326
1101	39	-0.0732357685457359
1101	40	-0.199293811305836
1101	41	-0.170123513880775
1101	42	-0.147859376498296
1101	43	-0.300391584533152
1101	44	-0.201840482433745
1101	45	-0.294475161179747
1101	46	-0.126168918806741
1101	47	-0.133092161901274
1101	48	-0.201190601597617
1101	49	-0.17805506825993
1101	50	-0.317636782589013
1101	51	-0.248677548048015
1101	52	-0.193444814082376
1101	53	-0.136288316585038
1101	54	-0.134358154749926
1101	55	-0.197264301521955
1101	56	-0.231603034145181
1101	57	-0.067053034979466
1101	58	-0.3128943712452
1101	59	-0.153775311963635
1101	60	-0.256703229973688
1101	61	-0.191248788103479
1101	62	-0.220225233662489
1101	63	-0.1843746683668
1101	64	-0.237598474454884
1101	65	-0.186204290412327
1101	66	-0.348868748590967
1101	67	-0.254962201430104
1101	68	-0.0841915040372001
1101	69	-0.223253791827673
1101	70	-0.223374725338189
1101	71	-0.330274073069489
1101	72	-0.246017178092544
1101	73	0.00721711201298092
1101	74	-0.132678516464004
1101	75	-0.202441316580149
1101	76	-0.237841484527941
1101	77	-0.227097868825496
1101	78	-0.237414457018161
1101	79	-0.208748977369197
1101	80	-0.175613564888351
1101	81	-0.0214965221875332
1101	82	0.0256822532544092
1101	83	-0.321775146695046
1101	84	-0.299070530031969
1101	85	-0.343180663819659
1101	86	-0.367198974844037
1101	87	-0.205962864720888
1101	88	-0.450322819498965
1101	89	-0.212980151723983
1101	90	-0.58480118986698
1101	91	-0.411764447588673
1101	92	-0.307107558839967
1101	93	-0.16345808477702
1101	94	-0.375257296480946
1101	95	-0.275783361085104
1101	96	-0.169123747607031
1101	97	-0.198792088133999
1101	98	-0.101620106184797
1101	99	-0.272961395634184
1101	100	-0.351936665382965
1101	101	-0.216951163255466
1101	102	-0.283393724814431
1101	103	-0.223901735051221
1101	104	-0.374486719108504
1101	105	-0.159293653508897
1101	106	-0.321354538398161
1101	107	-0.238599836819567
1101	108	-0.242584160725272
1101	109	-0.205077968206062
1101	110	-0.400471058710259
1101	111	-0.274041851623288
1101	112	-0.331397100776776
1101	113	-0.243562578411456
1101	114	-0.229338787475783
1101	115	-0.239136464897207
1101	116	-0.400500889580236
1101	117	-0.131776982966308
1101	118	-0.312982323522839
1101	119	-0.0603684527844308
1101	120	-0.24986197995262
1101	121	-0.215313664558302
1101	122	-0.293139156394425
1101	123	-0.245895331534363
1101	124	-0.406778078275003
1101	125	-0.448384642359997
1101	126	-0.241276042227526
1101	127	-0.218940373485559
1101	128	-0.303551510043519
1101	129	-0.386263800210003
1101	130	-0.295867182484223
1101	131	-0.361291953790534
1101	132	-0.314303099230841
1101	133	-0.252860121782156
1101	134	-0.423494238397467
1101	135	-0.15475895005207
1101	136	-0.563974928296837
1101	137	-0.507878667313406
1101	138	-0.227366479082072
1101	139	-0.193786649366992
1101	140	-0.233249426344706
1101	141	-0.252003780658519
1101	142	-0.216937558148416
1101	143	-0.221941937501342
1101	144	-0.284874318711374
1101	145	-0.297079605223843
1101	146	-0.401436777367216
1101	147	-0.503585363899049
1101	148	-0.470126969522205
1101	149	-0.242857412888249
1101	150	-0.224305971218755
1102	1	-0.395249651739164
1102	2	-0.361937920750627
1102	3	-0.0543645024713868
1102	4	-0.101491012350451
1102	5	-0.0793962856618791
1102	6	-0.0671468279345646
1102	7	0.10071014303481
1102	8	-0.0177829978172781
1102	9	0.0790503550876522
1102	10	0.152843735095381
1102	11	-0.0600549768249579
1102	12	-0.0573707179770935
1102	13	-0.080748714058231
1102	14	-0.0919867294238443
1102	15	-0.0951429787847999
1102	16	-0.0177572875025334
1102	17	-0.0050077728678346
1102	18	-0.0681890090657262
1102	19	-0.115491760150739
1102	20	-0.148050636577842
1102	21	-0.12436301291271
1102	22	-0.0362469349018681
1102	23	-0.0970868283352928
1102	24	-0.101903384368207
1102	25	-0.138816863859553
1102	26	-0.030822232777453
1102	27	0.0180104982773841
1102	28	-0.175244422920855
