sampleid,population,sex,timepoint,bird,flock
35,resident,male,A,BIRD19,residentmale
54,migratory,female,A,BIRD04,migratoryfemale
66,migratory,male,A,BIRD08,migratorymale
70,migratory,female,A,BIRD02,migratoryfemale
77,resident,female,A,BIRD23,residentfemale
88,migratory,male,A,BIRD13,migratorymale
95,resident,male,A,BIRD18,residentmale
97,migratory,male,A,BIRD11,migratorymale
120,resident,male,A,BIRD16,residentmale
152,resident,female,A,BIRD24,residentfemale
156,resident,female,A,BIRD26,residentfemale
169,migratory,male,A,BIRD12,migratorymale
203,resident,female,A,BIRD21,residentfemale
216,migratory,female,A,BIRD01,migratoryfemale
238,migratory,female,A,BIRD06,migratoryfemale
268,migratory,female,A,BIRD05,migratoryfemale
284,migratory,female,A,BIRD03,migratoryfemale
327,resident,male,A,BIRD15,residentmale
346,migratory,male,A,BIRD09,migratorymale
350,resident,male,A,BIRD17,residentmale
352,resident,male,A,BIRD20,residentmale
363,migratory,male,A,BIRD10,migratorymale
371,resident,female,A,BIRD22,residentfemale
373,resident,female,A,BIRD25,residentfemale
